dr2_source_id,dr2_bp_rp,dist,Seq,RAJ2000,DEJ2000,Prot,V0mag,__B-V_0,o_RVel,RVel,e_RVel,PRV,PPM,Mm,Rot,JP96,dr3_source_id,angular_distance,magnitude_difference,proper_motion_propagation,abs_magnitude_difference,Teff_Curtis20
337163630046824064,1.1339531,0.0002651077338037,17,40.39720833333333,42.6838875,0.9,14.33,0.79,15,-7.7,1.8,95,86,KM,c,1,337163630046824064,0.055071127,-0.026576042,True,0.026576042,5131.484357368655
337180328879557120,1.1743221,0.0003106591170111,18,40.711954166666665,42.96876527777777,0.94,14.51,0.84,15,-10.0,1.6,72,0,KM,c,1,337180328879557120,0.098400496,-0.00605011,True,0.00605011,5030.832062692071
337152360052638208,2.0954285,0.000261984320924,19,40.52737499999999,42.66020972222222,0.96,17.66,1.41,0,,,0,0,NM,c,0,337152360053441152,0.13981256,-0.016695023,True,0.016695023,3767.606666282627
337149302035928832,1.5884981,0.000283978248429,20,40.631745833333326,42.61943055555555,1.07,15.97,1.13,9,-9.9,1.8,74,46,KM,c,1,337149302035928832,0.09737983,-0.013289452,True,0.013289452,4297.716216937888
337139646949517440,1.2255068,0.0003214512337288,21,40.52133333333333,42.424030277777774,1.09,15.01,0.85,12,-14.1,2.5,6,0,NM,c,0,337139646949517440,0.045883786,-0.00055122375,True,0.00055122375,4911.724931792754
337120474215668864,1.4874144,0.0002547613616954,22,40.84945833333333,42.51624305555555,1.12,15.63,1.04,12,-6.9,1.6,91,0,KM,c,0,337120474215668864,0.21274929,-0.016468048,True,0.016468048,4436.021081050309
337194553811243520,1.4047804,0.0003385959297343,23,40.48992083333333,43.00732027777777,1.13,15.29,0.99,11,-9.9,2.5,76,53,KM,c,1,337194553811243520,0.13204326,-0.01689434,True,0.01689434,4564.915975940568
337177889338184960,1.3017025,0.0003042892024178,24,40.60845416666666,42.81496416666666,1.19,17.32,0.93,0,,,0,0,NM,c,0,337177889338184960,0.51291364,-0.01669693,True,0.01669693,4751.643708761921
337173899313037440,1.698739,0.0003152442984507,25,40.698541666666664,42.762943333333325,1.19,16.45,1.2,11,-7.2,1.3,94,0,KM,c,0,337173899313037440,0.064375944,-0.06133461,True,0.06133461,4164.400150172628
337172254341137280,1.4249363,0.0002831852263873,26,40.70491666666666,42.67052083333333,1.5,15.73,1.03,5,-7.7,0.3,95,0,KM,c,0,337172254341137280,0.03199156,-0.026820183,True,0.026820183,4531.938339402615
337185379761096576,1.2488594,0.0003273767141085,27,40.74141666666666,42.96765527777777,1.55,14.78,0.86,13,-6.3,1.7,81,0,KM,c,1,337185379761096576,0.0672316,-0.037757874,True,0.037757874,4860.5168136984275
337186509337438336,1.5959892,0.0003354750207221,28,40.69954166666666,43.01310722222222,1.63,17.52,1.12,0,,,0,0,NM,c,0,337186509337438336,1.4442469,0.0018863678,True,0.0018863678,4288.153292476634
337172975895643648,0.8110533,0.0002901317644249,29,40.677208333333326,42.67523194444444,1.97,12.62,0.52,10,-9.8,0.8,77,99,KM,i,1,337172975895643648,0.22076873,-0.0044202805,True,0.0044202805,6081.871049053266
