NGTS_ID     Gaia_ID             RA             Dec     NGTS_mag G_mag BP_mag RP_mag Ks_mag   GmK   SpT  mult amp_data amp_GP   P_GP     P_GPue    P_GPle     P_LS     P_GACF  method  P_adopt 
  12602  2320697484320217728  00:06:57.743  -30:09:17.146  14.28  14.86  15.74  13.94  11.93   2.94  K9    --   59.25   68.39   0.94394   0.00032   0.00033   0.94362   0.94340  GP     0.94394 
  12641  2320617529209321728  00:04:58.805  -30:09:41.439  11.00  11.32  11.63  10.88  10.08   1.24  F9    --   23.36   21.48   2.66293   0.00754   0.00708   2.64876   2.66670  GP     2.66293 
  12648  2320802075364296960  00:03:44.359  -30:09:53.783  15.48  16.04  17.23  14.97  12.71   3.33  M2    --   36.10   17.14   1.31355   0.00101   0.00090   1.31375   1.31408  GP     1.31355 
  12687  2326851240446766592  23:59:08.504  -30:09:56.930  15.57  16.18  17.44  15.07  12.79   3.39  M2    --   35.78   16.64   2.35236   0.00564   0.00433   2.35200   2.44680  GP     2.35236 
  12744  2314847253531620864  23:59:18.352  -30:10:16.355  12.02  12.42  12.84  11.86  10.77   1.65  G9    --   22.98   23.24   5.77742   0.01496   0.01412   5.82206   5.80990  GP     5.77742 
  12805  2320790289973970432  00:03:10.784  -30:10:48.677  10.88  11.17  11.47  10.75   9.97   1.20  F9    --   20.29   15.82   2.17484   0.00735   0.00705   2.17087   2.16720  GP     2.17484 
  12886  2320611584974584448  00:04:52.532  -30:11:28.080  15.03  15.55  16.63  14.52  12.28   3.28  M1.5  --   30.63   30.51   1.75715   0.00153   0.00165   1.75236   1.76002  GP     1.75715 
  12962  2320834304798813568  00:01:56.899  -30:12:07.742  14.33  14.89  15.77  13.96  11.96   2.93  K9    --   20.59   15.93   9.71634   0.11320   0.08057   9.93802  10.00240  GP     9.71634 
  13005  2320833445805349760  00:01:28.660  -30:12:20.737  10.43  10.73  10.98  10.34   9.67   1.06  F6    --    5.57    4.54   1.42191   0.00462   0.00443   1.41650   1.41687  GP     1.42191 
  13071  2320833372790628480  00:01:33.183  -30:12:59.378  11.98  12.37  12.78  11.82  10.73   1.64  G8    --   34.81   33.48   5.39813   0.01856   0.01810   5.39229   5.39660  GP     5.39813 
  13299  2320692502158156672  00:07:05.646  -30:14:31.942  14.80  15.27  16.25  14.29  12.18   3.09  M0    --   69.37   69.05   4.15575   0.00338   0.00320   4.15300   4.16260  GP     4.15575 
  13302  2320798639390461056  00:04:31.632  -30:14:41.433  11.20  11.56  11.88  11.10  10.23   1.33  G1    --   17.50   15.62   3.63033   0.02622   0.02493   3.52091   3.63120  GP     3.63033 
  13403  2320788331468887040  00:03:00.521  -30:15:43.852  14.58  15.11  16.05  14.15  12.10   3.01  M0    --   33.12   32.74   1.15307   0.00073   0.00078   1.15374   1.15401  GP     1.15307 
  13417  2320777469496305024  00:03:33.660  -30:15:43.753  11.97  12.33  12.73  11.78  10.73   1.60  G8    --   22.30   25.41   5.60965   0.04317   0.04193   5.45599   5.66530  GP     5.60965 
  13463  2320777267633186688  00:03:48.034  -30:16:12.830  15.90  16.49  17.85  15.34  12.97   3.52  M3    --   66.57   42.10   1.44851   0.00061   0.00061   1.44816   1.44901  GP     1.44851 
  13480  2314830902591420416  00:00:39.328  -30:16:18.645  15.60  16.17  17.41  15.07  12.78   3.38  M2    --   36.19   10.26   1.24426   0.00070   0.00069   1.24397   5.07560  GP     1.24426 
  13575  2320774278335949952  00:03:54.500  -30:17:01.441  12.57  13.06  13.67  12.33  10.75   2.31  K4    c    10.10    8.21   8.64254   0.15330   0.10331   9.83556   8.60183  GP     8.64254 
  13587  2320797539878825472  00:03:58.426  -30:17:03.372  14.09  15.04  16.18  13.99  11.75   3.30  M1.5  c    21.73   14.60   5.15880   0.00852   0.00887   5.15907   5.17170  GP     5.15880 
  13588  2320786544762486016  00:01:52.148  -30:17:09.457  14.47  15.01  15.91  14.06  12.03   2.97  K9    --   27.65   26.51   7.67512   0.04573   0.04517   7.61181   7.62760  GP     7.67512 
  13788  2320606121776189824  00:05:25.493  -30:18:35.432  14.63  15.19  16.16  14.21  12.12   3.07  M0    --   28.06   23.01   4.85167   0.01316   0.01288   4.84472   4.85880  GP     4.85167 
