dr2_source_id,dr3_source_id,n_sectors,period,uncertainty,pdm_period,lsp_period,pdm_power,lsp_power,teff_curtis20,p2p_rms,a_90_10,snr,ra,dec,pmra,pmdec,parallax,radial_velocity,phot_bp_mean_mag,phot_rp_mean_mag,phot_g_mean_mag,phot_bp_mean_mag_0,phot_rp_mean_mag_0,phot_g_mean_mag_0,X,Y,Z,U,V,W,v_l,v_b,in_meingast,in_kerr,in_kc,in_cg,in_jaehnig,in_lodieu,in_moranta,in_heyl,manual_check,flag_quality_period,flag_benchmark_period,in_gyro_sample,flag_nbhr_count
270633315319449984,270633315319449984,1,,,,,,,4413.0,,,,64.543,50.318,18.562,-36.93,3.684,,21.37,18.983,20.314,13.893,11.643,12.939,-240.16,122.4,0.24,,,,49.934,-17.218,False,False,False,False,False,True,False,False,,False,False,False,False
245589601541812096,245589601541812096,1,,,0.611,0.609,0.958,0.028,3146.0,35163.98,66054.05,11.64,61.168,45.956,18.755,-26.288,5.396,,19.259,16.125,17.411,12.715,9.696,10.961,-165.65,79.61,-15.02,,,,27.545,-6.189,True,True,True,False,False,True,False,False,,False,True,False,False
530088441382516608,530088441382516608,3,,,0.34,7.786,0.967,0.017,3553.0,842983.85,1577504.07,16.19,7.903,69.13,24.986,-2.962,5.273,,21.697,19.352,20.879,15.205,12.908,14.422,-96.96,160.51,21.04,,,,22.08,-4.371,False,False,False,False,False,False,False,True,,False,False,False,False
241758692575558912,241758692575558912,1,,,,,,,3778.0,,,,53.265,45.229,9.453,-9.068,4.588,,21.369,19.666,20.753,14.45,12.839,13.892,-186.37,105.63,-32.81,,,,13.325,-1.894,False,False,False,False,False,True,False,False,,False,False,False,False
248337998358045056,248337998358045056,1,,,,,,,3269.0,,,,55.618,47.202,,,,,21.642,19.105,20.497,,,,,,,,,,,,False,False,False,False,False,True,False,False,,False,False,False,False
441773949454228096,441773949454228096,1,,,0.104,6.56,0.815,0.115,5740.0,768303.61,1777016.47,4.33,50.859,50.356,-1.06,1.287,0.286,,21.857,19.87,20.925,7.65,6.316,7.19,-2651.23,1775.99,-302.02,,,,-24.219,7.461,False,False,False,False,False,True,False,False,,False,False,False,False
2085755248448871424,2085755248448871424,2,,,0.825,0.825,0.564,0.349,3457.0,3167.87,11398.5,26.58,300.607,47.082,5.184,3.653,8.736,-25.39,15.279,12.789,13.978,9.954,7.48,8.666,15.88,111.73,16.99,-17.73,-36.46,-12.36,3.139,-1.387,False,False,True,False,False,False,False,False,,False,False,False,False
335537074392071424,335537074392071424,1,,,4.359,4.436,0.877,0.13,3185.0,40325.76,98273.06,5.34,41.975,38.972,27.042,-25.228,5.76,,19.47,16.395,17.646,13.195,10.166,11.407,-136.68,90.58,-54.56,,,,29.15,-8.27,True,False,False,False,False,False,False,False,,False,False,False,True
2864160621363908608,2864160621363908608,1,,,0.579,0.579,0.816,0.187,3123.0,18647.86,42378.62,12.08,5.951,34.615,26.156,-13.344,5.462,,18.824,15.726,17.003,12.44,9.385,10.654,-72.04,144.11,-85.11,,,,21.031,-14.179,False,False,False,False,False,False,False,True,,False,True,False,True
249173558472628480,249173558472628480,1,,,0.104,10.703,0.793,0.186,,115869.1,268109.79,30.74,52.677,48.357,22.799,-26.088,5.833,,20.975,17.398,18.831,14.485,11.113,12.511,-144.29,89.14,-19.0,,,,27.219,-6.709,False,True,False,False,False,True,False,True,,False,True,False,False
246067644282599168,246067644282599168,1,,,0.188,8.663,0.945,0.106,3479.0,710500.42,1444707.95,22.73,62.443,47.365,9.635,-33.367,4.506,,21.627,18.936,20.341,14.656,12.08,13.46,-198.07,96.48,-11.71,,,,31.088,-18.795,False,False,False,False,False,True,False,False,,False,False,False,False
242382978955416960,242382978955416960,1,,,0.409,0.409,0.647,0.28,3158.0,23992.27,53356.53,15.89,48.743,44.815,23.579,-24.071,5.803,,18.964,15.795,17.081,12.579,9.525,10.79,-142.88,89.29,-32.26,,,,26.648,-6.395,True,True,True,True,True,True,False,False,,False,True,False,False
271990971662543232,271990971662543232,1,,,0.104,8.373,0.798,0.277,3106.0,119065.72,318216.96,40.56,65.96,52.084,24.039,-25.691,5.693,,20.155,16.791,18.143,13.714,10.482,11.811,-154.81,81.02,5.88,,,,29.153,-0.763,False,False,False,False,False,True,False,False,,False,True,False,False
