Seq,KIC,dr2_source_id,Gmag,BP-RP,Teff,Mass,SpT,Per,e_Per,NQ,f_Seq,Simbad,_RA,_DE,dr3_source_id,angular_distance,magnitude_difference,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmdec,ruwe,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_flux,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_expected_sig_to_noise,vbroad,vbroad_error,l,b,ecl_lon,ecl_lat,non_single_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,azero_gspphot,ag_gspphot,ebpminrp_gspphot,nbhr_count,flag_nbhr_count,flag_bad_gaiamatch,M_G
136,9656681,2080095993386737408,17.183,1.449,4451,0.721,K5,12.21,0.1257,5,Y,Simbad,294.82199,46.32773,2080095993386737408,0.06604677,-0.017902374,294.82196489068656,46.32768855076916,0.9158573541187177,0.050812323,18.024317,-3.3513322886613377,-8.553482398666397,0.99005586,1370.4502,17.164675,118.647224,2208.7616393937633,320.99985,1.2561395,0,0,0,1,1.4368286,0.6596775,0.7771511,,,,,,,79.31615739674287,11.679191037840612,315.25575515858316,65.91177544948924,0,4297.7314,4280.989,4337.445,0.0226,0.017,0.009,0,False,False,6.973813944153905
137,9716678,2128134442376853120,17.334,1.484,4400,0.711,K5,18.83,0.4072,10,S,Simbad,294.45311,46.43396,2128134442376853120,0.06896943,-0.020204544,294.45308721852354,46.43392025365628,0.9777628028356717,0.05881807,16.62351,-3.481021443142597,-8.794040223489619,1.0655628,1312.43,17.314283,120.838135,1954.2167526534834,200.20612,1.2537487,0,0,0,0,1.49757,0.7037506,0.7938194,,,,,,,79.29427805789304,11.954116005302541,314.79082330262355,66.11256539826907,0,4176.9624,4169.9014,4189.37,0.0107,0.0079,0.0042,1,True,False,7.265450927559574
138,9716095,2128122004151549184,17.353,1.491,4391,0.709,K5,12.93,0.9576,10,Y,Simbad,294.23363,46.42825,2128122004151549184,0.029187117,-0.019798279,294.23360405624925,46.42821414416217,0.8802582427353934,0.05668246,15.529641,-3.2589474775183667,-8.747068932802467,0.9930208,1210.239,17.333248,71.68248,1944.3011510747372,128.71465,1.2652764,0,0,0,0,1.5091934,0.701931,0.8072624,,,,,,,79.21907729741653,12.086427715876521,314.44322503294256,66.16866931879268,0,4454.062,4435.203,4477.126,0.3409,0.2562,0.1347,0,False,False,7.056298640894802
139,9471356,2128098884347245184,17.257,1.492,4390,0.708,K5,12.64,0.328,6,Y,Simbad,294.35316,46.08533,2128098884347245184,0.040261067,-0.02012062,294.35313851548534,46.085287082566516,0.8928199074874126,0.057579216,15.50594,-3.4485040495320454,-8.700935854190309,0.9793173,1411.5642,17.237053,88.08066,2074.5762110372098,225.41325,1.2468444,0,1,0,1,1.4767361,0.6952553,0.7814808,,,,,,,78.94471964700398,11.857524549026246,314.2901166874132,65.82146568807073,0,4488.345,4473.9834,4505.681,0.2249,0.1692,0.0888,2,True,False,6.990872243993815
140,9593970,2128118228880232704,17.34,1.492,4389,0.708,K5,17.68,0.8943,4,S,Simbad,294.19021,46.21674,2128118228880232704,0.0543997,-0.018810272,294.1901921112387,46.21670629934997,0.8069743497487166,0.059656207,13.527081,-3.2815014044620407,-8.958805870884547,1.0664829,1333.144,17.320822,118.767975,1922.3842155273871,227.33556,1.2440139,0,0,0,0,1.4882412,0.7057152,0.782526,,,,,,,79.01226481731327,12.017669361310064,314.1656879452781,65.98709461108405,0,4361.3486,4340.587,4388.5845,0.2165,0.1623,0.0856,1,True,False,6.855120415003661
141,9471158,2128098433369035392,17.394,1.492,4389,0.708,K5,13.22,0.0954,3,Y,Simbad,294.28461,46.00707,2128098433369035392,0.024497962,-0.021404266,294.28459093535974,46.00703516830727,0.9334434241591812,0.06792154,13.742966,-3.337849419079605,-8.73333470590439,0.9680666,1110.9843,17.372936,90.5484,1880.4215400492797,171.02818,1.2691624,0,3,0,0,1.509489,0.6988106,0.8106785,,,,,,,78.85140883303117,11.864444998000025,314.10748391029927,65.76873976523454,0,4140.3794,4131.4814,4157.348,0.0195,0.0145,0.0077,1,True,False,7.223376251634507
142,9655970,2128130387927588992,17.322,1.506,4370,0.704,K5,12.74,0.3492,11,Y,Simbad,294.53644,46.37419,2128130387927588992,0.05034176,-0.016571045,294.53641787561435,46.3741468507741,0.9330969899855585,0.05679508,16.429188,-3.404591310117479,-9.02888829420127,1.039229,1219.4874,17.30541,122.85227,1994.7935238980863,292.5153,1.265382,0,0,0,1,1.5088882,0.70162773,0.8072605,,,,,,,79.26652837270034,11.875773543485785,314.86033079770266,66.03459035900134,0,4454.0156,4434.7847,4472.7163,0.2749,0.2059,0.1088,0,False,False,7.1550443274778015
143,9594642,2128107165044245888,17.297,1.507,4368,0.704,K5,11.55,0.2238,11,Y,Simbad,294.41512,46.21764,2128107165044245888,0.028786996,-0.02287674,294.41509462117995,46.217600370430354,0.9037563026312796,0.055424076,16.306204,-3.5292867172055944,-8.883118548127065,1.0149444,1280.8301,17.274012,99.64298,2019.9741233627706,193.52371,1.2553399,0,1,0,1,1.4787827,0.68930244,0.7894802,,,,,,,79.08510233192462,11.879324642564308,314.5163245131085,65.92538654722856,0,4464.493,4451.8984,4479.4834,0.2025,0.1521,0.0801,0,False,False,7.054268306955931
144,9655566,2128132282013368960,17.119,1.511,4364,0.703,K5,11.26,0.6347,6,Y,Simbad,294.40004,46.35163,2128132282013368960,0.1669605,-0.021043777,294.40002194623133,46.35158596324213,0.8125113938691605,0.05284171,15.376327,-3.41972257857885,-9.037852059862963,1.028944,1295.4203,17.098497,96.87248,2403.3484405704558,220.95995,1.2671247,0,1,0,1,1.4886703,0.6860275,0.8026428,,,,,,,79.2023056383718,11.949392466087865,314.6259157118408,66.05216192110099,0,4342.942,4318.9233,4376.0596,0.3643,0.275,0.148,0,False,False,6.647644689831223
145,9655067,2128120492322841728,17.404,1.512,4361,0.702,K5,12.95,0.1459,8,Y,Simbad,294.21934,46.32654,2128120492322841728,0.079849266,-0.02094078,294.2193188654529,46.3264979165554,0.9469808657174538,0.059608866,15.886578,-3.373073784344533,-8.766647089925748,0.9479919,1177.943,17.382654,99.50573,1863.4785377782573,145.52213,1.2614172,0,0,0,4,1.5314159,0.7208462,0.81056976,,,,,,,79.12171938796702,12.049291897601194,314.31960104320586,66.07956508759979,0,4334.9956,4315.3804,4352.3765,0.248,0.1852,0.0979,0,False,False,7.2643602096982285
