Cluster,SourceID,Prot,GaiaDR2,RA_ICRS,DE_ICRS,plx,e_plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,BPmag,RPmag,BP-RP,Delta,Pmemb,Class,MG0proj,Mass,Teff,FlagMT,SimbadName,_RA_icrs,_DE_icrs,recno
M37,Hartman08 318,13.92892969,3451193654710596992,87.960202656,32.5841500406,1.2497,0.3144,2.1290000000000004,0.668,-5.3180000000000005,0.6070000000000001,19.115278,20.033802,17.998552,2.0352497,1.118,0.996,probable-member,7.798,0.632,4067,faint,Cl* NGC 2099 HGH V318,87.96019177560088,32.584172935485796,2155
M37,Hartman08 320,6.20775073,3451179812034874112,87.960499165,32.4752486043,0.6992,0.056,2.031,0.11600000000000002,-5.728000000000001,0.09600000000000002,16.056875,16.527472,15.417622,1.1098499,0.461,1.0,probable-member,4.592,1.068,5971,bright,Cl* NGC 2099 HGH V320,87.96048879791618,32.475273268358855,2156
M37,Hartman08 322,10.91090561,3451179223620161664,87.9606732552,32.4588745451,0.7643,0.1858,1.5390000000000001,0.37900000000000006,-5.611000000000001,0.31500000000000006,18.319227,19.041183,17.3979,1.6432838,0.619,0.997,probable-member,6.921,0.718,4524,intermediate,Cl* NGC 2099 HGH V322,87.96066540229586,32.45889870348223,2158
M37,Hartman08 327,6.01568362,3451178197127187840,87.9623188391,32.3988278837,0.5704,0.0633,1.5970000000000002,0.139,-5.4030000000000005,0.117,16.24378,16.695917,15.547674,1.148243,1.337,0.992,probable-member,4.778,1.032,5853,bright,Cl* NGC 2099 HGH V327,87.96231069563834,32.39885114558335,2160
M37,Hartman08 328,6.99742033,3451194999038666880,87.9630349379,32.6395852959,0.7152,0.0684,2.1180000000000003,0.14800000000000002,-5.774000000000001,0.117,16.609518,17.153788,15.896218,1.2575693,0.687,1.0,probable-member,5.277,0.942,5531,bright,Cl* NGC 2099 HGH V328,87.96302411033625,32.63961015736644,2161
M37,Hartman08 335,9.59799445,3451221932775968512,87.9650572636,32.7272944762,0.7026,0.144,2.301,0.22700000000000004,-5.625000000000001,0.18700000000000003,17.59097,18.22401,16.780975,1.4430351,0.742,0.999,probable-member,6.07,0.822,5033,intermediate,Cl* NGC 2099 HGH V335,87.96504548458138,32.72731869696792,2164
M37,Hartman08 366,12.62821762,3451179945174781056,87.9743446169,32.4983298327,0.9476,0.2709,2.728,0.652,-6.014000000000001,0.531,19.025763,19.810091,17.94247,1.8676205,0.978,0.997,probable-member,7.692,0.643,4115,faint,Cl* NGC 2099 HGH V366,87.9743306929833,32.49835572514308,2170
M37,Hartman08 374,9.77903175,3451221864056480000,87.9772063182,32.7283563606,0.6155,0.1547,2.0410000000000004,0.23900000000000002,-5.934000000000001,0.198,17.734613,18.448278,16.915594,1.5326843,0.697,0.999,probable-member,6.383,0.78,4848,intermediate,Cl* NGC 2099 HGH V374,87.97719587234053,32.72838191026472,2172
M37,Hartman08 381,7.99462863,3451177887889544832,87.9788143137,32.3753078987,0.6038,0.1344,1.7810000000000001,0.28900000000000003,-5.678000000000001,0.24700000000000003,17.462183,18.078,16.633842,1.4441566,0.374,0.998,probable-member,6.061,0.823,5038,bright,Cl* NGC 2099 HGH V381,87.97880523631356,32.37533234708276,2174
M37,Hartman08 387,8.4450991,3451180048254025984,87.9798412644,32.5184693552,0.6608,0.0992,2.064,0.19700000000000004,-5.572000000000001,0.162,17.277937,17.861156,16.501802,1.359354,0.335,1.0,probable-member,5.717,0.872,5252,bright,Cl* NGC 2099 HGH V387,87.97983072501151,32.51849334499381,2175
M37,Hartman08 389,7.41789335,3451193311113123840,87.980662811,32.5518643461,0.7239,0.1487,1.7440000000000002,0.273,-5.649000000000001,0.23000000000000004,18.071026,18.830677,17.179205,1.6514721,0.396,0.999,probable-member,6.734,0.738,4642,intermediate,Cl* NGC 2099 HGH V389,87.9806539035998,32.551888668409006,2177
M37,Hartman08 404,5.96950681,3451222070215020288,87.9853044989,32.7551481712,0.8563,0.1963,2.2510000000000003,0.36000000000000004,-5.648000000000001,0.29300000000000004,18.228329,18.955214,17.32179,1.6334229,0.713,0.999,probable-member,6.827,0.728,4583,intermediate,Cl* NGC 2099 HGH V404,87.98529297443329,32.75517248951278,2180
M37,Hartman08 410,7.80901331,3451193482911904512,87.9866965965,32.582085278,0.4719,0.1272,2.119,0.23500000000000001,-5.534000000000001,0.19500000000000003,17.550995,18.174255,16.725672,1.4485836,0.965,0.993,probable-member,6.082,0.82,5025,intermediate,Cl* NGC 2099 HGH V410,87.98668576783834,32.58210910586139,2182
M37,Hartman08 417,7.4713491,3451193311113114752,87.9885019697,32.5482576012,0.7459,0.1025,1.8950000000000002,0.21600000000000003,-5.327000000000001,0.18600000000000003,17.35131,17.977062,16.567392,1.4096699,0.847,0.999,probable-member,5.926,0.842,5120,bright,Cl* NGC 2099 HGH V417,87.98849229020088,32.54828053582959,2185
M37,Hartman08 422,7.1617085,3451179979534536576,87.989276481,32.5124878845,0.7378,0.0824,2.2310000000000003,0.18600000000000003,-5.7780000000000005,0.14900000000000002,16.911703,17.464209,16.18228,1.281929,0.873,1.0,probable-member,5.38,0.925,5464,bright,Cl* NGC 2099 HGH V422,87.98926509218595,32.512512763197,2187
M37,Hartman08 424,6.31561821,3451195136477583872,87.9904702098,32.66275306,0.6022,0.0584,1.745,0.10600000000000001,-5.474,0.08700000000000001,16.070023,16.542368,15.43723,1.1051378,0.921,0.999,probable-member,4.568,1.072,5986,bright,Cl* NGC 2099 HGH V424,87.99046128727291,32.662776628147846,2188
M37,Hartman08 448,7.5667964,3451174967311782272,87.9943089565,32.3653718769,0.7824,0.1318,1.739,0.256,-5.8420000000000005,0.20800000000000002,17.303658,17.925194,16.544027,1.3811665,0.739,0.999,probable-member,5.811,0.858,5192,bright,Cl* NGC 2099 HGH V448,87.9943000908683,32.365397028551214,2192
M37,Hartman08 450,7.34779767,3451193315412017536,87.994611465,32.556933204,0.6509,0.0568,1.9650000000000003,0.11100000000000002,-5.574000000000001,0.09100000000000001,16.10253,16.59079,15.438853,1.1519365,0.27,1.0,probable-member,4.796,1.029,5842,bright,Cl* NGC 2099 HGH V450,87.99460142898397,32.55695720152286,2193
M37,Hartman08 469,6.39590788,3451181457003295872,87.9989362047,32.5162098026,0.6249,0.0665,1.354,0.138,-5.745000000000001,0.11200000000000002,16.421682,16.927876,15.737654,1.1902218,1.514,0.99,probable-member,4.976,0.996,5728,bright,Cl* NGC 2099 HGH V469,87.99892928874416,32.516234538175325,2196
M37,Hartman08 480,9.33189549,3451181663162210048,88.0041052594,32.5517360652,0.6028,0.199,1.318,0.399,-6.275,0.33,18.446436,19.240005,17.479435,1.7605705,1.283,0.988,probable-member,7.1,0.701,4421,intermediate,Cl* NGC 2099 HGH V480,88.00409852668295,32.55176308378312,2200
M37,Hartman08 481,3.28099357,3451178502064728320,88.0041603087,32.4222287045,0.8898,0.2983,1.2160000000000002,0.649,-5.713000000000001,0.557,19.032852,19.853323,18.006071,1.8472519,0.752,0.982,probable-member,7.697,0.642,4113,faint,Cl* NGC 2099 HGH V481,88.00415410650028,32.42225330189828,2201
M37,Hartman08 487,10.26298251,3451175066090841472,88.0065294798,32.3799842023,0.6876,0.1525,1.6770000000000003,0.31000000000000005,-5.620000000000001,0.253,17.957083,18.691769,17.100567,1.5912018,0.42,0.998,probable-member,6.595,0.753,4728,intermediate,Cl* NGC 2099 HGH V487,88.00652092803578,32.38000839778225,2202
M37,Hartman08 499,10.35740926,3451193448552165888,88.010624381,32.5820712806,0.7068,0.1862,1.9610000000000003,0.272,-5.222,0.23100000000000004,17.909958,18.596388,17.07128,1.5251083,0.858,0.995,probable-member,6.434,0.773,4819,intermediate,Cl* NGC 2099 HGH V499,88.01061436170643,32.58209376572582,2206
M37,Hartman08 502,10.41845427,3451194135747332736,88.0125952487,32.627947022,0.7741,0.1621,1.485,0.281,-5.824000000000001,0.23100000000000004,17.769117,18.439837,16.939535,1.5003014,0.929,0.997,probable-member,6.307,0.789,4892,intermediate,Cl* NGC 2099 HGH V502,88.01258765762327,32.62797209660446,2208
M37,Hartman08 546,6.82022206,3451178845662144000,88.0236424995,32.451925339,0.7152,0.0762,1.8560000000000003,0.131,-6.024000000000001,0.10800000000000001,16.469093,16.97906,15.778731,1.2003279,1.151,0.999,probable-member,5.022,0.987,5698,bright,Cl* NGC 2099 HGH V546,88.02363303101141,32.45195127780817,2218
M37,Hartman08 558,7.19151007,3451194346203585280,88.0279695874,32.6537818534,0.7552,0.0912,1.735,0.16100000000000003,-5.747000000000001,0.135,16.796673,17.350922,16.081888,1.2690334,0.756,1.0,probable-member,5.324,0.934,5500,bright,Cl* NGC 2099 HGH V558,88.02796071338,32.65380659942121,2224
M37,Hartman08 565,7.81389098,3451218599881172992,88.0296242877,32.6848660371,0.5964,0.1148,2.1500000000000004,0.21000000000000002,-5.493,0.17500000000000002,17.414639,18.06007,16.639292,1.4207783,0.669,0.999,probable-member,5.97,0.836,5094,bright,Cl* NGC 2099 HGH V565,88.02961328768006,32.6848896888116,2225
M37,Hartman08 579,5.8213069,3451181633100957568,88.0329154503,32.5566064014,0.866,0.1774,2.281,0.34900000000000003,-5.618,0.29000000000000004,18.38,19.125648,17.42096,1.704689,0.818,0.999,probable-member,7.015,0.709,4466,intermediate,Cl* NGC 2099 HGH V579,88.03290379626141,32.55663059150474,2230
M37,Hartman08 589,7.75544752,3451218599881187328,88.0347892806,32.6886715891,0.6541,0.0923,2.071,0.169,-5.198,0.14400000000000002,16.975061,17.55007,16.257105,1.2929649,1.201,0.996,probable-member,5.429,0.917,5434,bright,Cl* NGC 2099 HGH V589,88.03477868713031,32.68869396827934,2233
